id,lastname,firstname,state,chamber,icpsr,bioname
05269,FARWELL,CHARLES,IL,Senate,3075,"FARWELL, Charles Benjamin"
05859,TURPIE,DAVID,IN,Senate,9526,"TURPIE, David"
06534,DANIEL,JOHN,VA,Senate,2325,"DANIEL, John Warwick"
05749,FAULKNER,CHARLES,WV,Senate,3081,"FAULKNER, Charles James"
05325,REAGAN,JOHN,TX,Senate,7769,"REAGAN, John Henninger"
05826,PASCO,SAMUEL,FL,Senate,7227,"PASCO, Samuel"
06364,QUAY,MATTHEW,PA,Senate,7668,"QUAY, Matthew Stanley"
05905,CHANDLER,WILLIAM,NH,Senate,1641,"CHANDLER, William Eaton"
05285,HISCOCK,FRANK,NY,Senate,4452,"HISCOCK, Frank"
06182,BATE,WILLIAM,TN,Senate,508,"BATE, William Brimage"
05850,STOCKBRIDGE,FRANCIS,MI,Senate,8957,"STOCKBRIDGE, Francis Brown"
05248,BLODGETT,RUFUS,NJ,Senate,799,"BLODGETT, Rufus"
06203,DAVIS,CUSHMAN,MN,Senate,2377,"DAVIS, Cushman Kellogg"
06034,WOLCOTT,EDWARD,CO,Senate,10302,"WOLCOTT, Edward Oliver"
05535,CARLISLE,JOHN,KY,Senate,1509,"CARLISLE, John Griffin"
05521,WASHBURN,WILLIAM,MN,Senate,9853,"WASHBURN, William Drew"
06343,MCMILLAN,JAMES,MI,Senate,6352,"McMILLAN, James"
05430,HIGGINS,ANTHONY,DE,Senate,4397,"HIGGINS, Anthony"
05409,DIXON,NATHAN,RI,Senate,2624,"DIXON, Nathan Fellows"
05652,SQUIRE,WATSON,WA,Senate,8819,"SQUIRE, Watson Carvosso"
05463,MOODY,GIDEON,SD,Senate,6614,"MOODY, Gideon Curtis"
05994,PETTIGREW,RICHARD,SD,Senate,7379,"PETTIGREW, Richard Franklin"
05385,CASEY,LYMAN,ND,Senate,1576,"CASEY, Lyman Rufus"
05364,BARBOUR,JOHN,VA,Senate,422,"BARBOUR, John Strode, Jr."
05538,SANDERS,WILBUR,MT,Senate,8201,"SANDERS, Wilbur Fiske"
05537,POWER,THOMAS,MT,Senate,7576,"POWER, Thomas Charles"
06010,SHOUP,GEORGE,ID,Senate,8489,"SHOUP, George Laird"
05536,MCCONNELL,WILLIAM,ID,Senate,6170,"McCONNELL, William John"
07833,WARREN,FRANCIS,WY,Senate,9842,"WARREN, Francis Emroy"
05480,PIERCE,GILBERT,ND,Senate,7436,"PIERCE, Gilbert Ashville"
05358,ALLEN,JOHN,WA,Senate,113,"ALLEN, John Beard"
05638,PEFFER,WILLIAM,KS,Senate,7306,"PEFFER, William Alfred"
07188,GALLINGER,JACOB,NH,Senate,3439,"GALLINGER, Jacob Harold"
05669,VILAS,WILLIAM,WI,Senate,9671,"VILAS, William Freeman"
05586,FELTON,CHARLES,CA,Senate,3098,"FELTON, Charles Norton"
06447,HANSBROUGH,HENRY,ND,Senate,4042,"HANSBROUGH, Henry Clay"
05633,PALMER,JOHN,IL,Senate,7179,"PALMER, John McAuley"
05906,CHILTON,HORACE,TX,Senate,1694,"CHILTON, Horace"
05685,MILLS,ROGER,TX,Senate,6531,"MILLS, Roger Quarles"
06593,PROCTOR,REDFIELD,VT,Senate,7632,"PROCTOR, Redfield"
06307,DUBOIS,FRED,ID,Senate,2738,"DUBOIS, Fred Thomas"
05683,HILL,DAVID,NY,Senate,4408,"HILL, David Bennett"
05553,BRICE,CALVIN,OH,Senate,1022,"BRICE, Calvin Stewart"
05608,IRBY,JOHN,SC,Senate,4813,"IRBY, John Laurens Manning"
05684,HUNTON,EPPA,VA,Senate,4770,"HUNTON, Eppa"
05904,CAFFERY,DONELSON,LA,Senate,1391,"CAFFERY, Donelson"
06107,KYLE,JAMES,SD,Senate,5386,"KYLE, James Henderson"
05686,PERKINS,BISHOP,KS,Senate,7342,"PERKINS, Bishop Walden"
05673,WHITE,EDWARD,LA,Senate,10019,"WHITE, Edward Douglass"
05594,GIBSON,CHARLES,MD,Senate,3557,"GIBSON, Charles Hopper"
05966,LINDSAY,WILLIAM,KY,Senate,5679,"LINDSAY, William"
05816,MURPHY,EDWARD,NY,Senate,6806,"MURPHY, Edward, Jr."
05836,ROACH,WILLIAM,ND,Senate,7934,"ROACH, William Nathaniel"
05875,BLANCHARD,NEWTON,LA,Senate,781,"BLANCHARD, Newton Crain"
05878,WALSH,PATRICK,GA,Senate,9787,"WALSH, Patrick"
05877,PATTON,JOHN,MI,Senate,7263,"PATTON, John, Jr."
05876,JARVIS,THOMAS,NC,Senate,4897,"JARVIS, Thomas Jordan"
06175,ALLEN,WILLIAM,NE,Senate,134,"ALLEN, William Vincent"
05804,MARTIN,JOHN,KS,Senate,6027,"MARTIN, John"
06705,MCLAURIN,ANSELM,MS,Senate,6330,"McLAURIN, Anselm Joseph"
05812,MITCHELL,JOHN,WI,Senate,6568,"MITCHELL, John Lendrum"
05868,WHITE,STEPHEN,CA,Senate,10045,"WHITE, Stephen Mallory"
07008,BACON,AUGUSTUS,GA,Senate,322,"BACON, Augustus Octavius"
05931,GEAR,JOHN,IA,Senate,3517,"GEAR, John Henry"
07138,TILLMAN,BENJAMIN,SC,Senate,9386,"TILLMAN, Benjamin Ryan"
06530,CARTER,THOMAS,MT,Senate,1550,"CARTER, Thomas Henry"
