id,lastname,firstname,state,chamber,icpsr,bioname
07315,HAMLIN,COURTNEY,MO,House,3999,"HAMLIN, Courtney Walker"
07155,HARDWICK,THOMAS,GA,House,4060,"HARDWICK, Thomas William"
06633,BEDE,JAMES,MN,House,568,"BEDE, James Adam"
07378,TOWNSEND,CHARLES,MI,House,9434,"TOWNSEND, Charles Elroy"
06794,HINSHAW,EDMUND,NE,House,4449,"HINSHAW, Edmund Howard"
07668,VOLSTEAD,ANDREW,MN,House,9683,"VOLSTEAD, Andrew John"
06629,ACHESON,ERNEST,PA,House,14,"ACHESON, Ernest Francis"
06463,LUCKING,ALFRED,MI,House,5830,"LUCKING, Alfred"
06522,BROOKS,FRANKLIN,CO,House,1075,"BROOKS, Franklin Eli"
07658,STEENERSON,HALVOR,MN,House,8877,"STEENERSON, Halvor"
06489,SHULL,JOSEPH,PA,House,8496,"SHULL, Joseph Horace"
07153,YOUNG,HORACE,MI,House,10441,"YOUNG, Horace Olin"
07510,WEBB,EDWIN,NC,House,9898,"WEBB, Edwin Yates"
06727,WEEMS,CAPELL,OH,House,9914,"WEEMS, Capell Lane"
06502,WADE,MARTIN,IA,House,9700,"WADE, Martin Joseph"
07371,STERLING,JOHN,IL,House,8900,"STERLING, John Allen"
06458,LANNING,WILLIAM,NJ,House,5466,"LANNING, William Mershon"
06487,SHIRAS,GEORGE,PA,House,8477,"SHIRAS, George, III"
06783,GILLESPIE,OSCAR,TX,House,3596,"GILLESPIE, Oscar William"
06542,FIELD,SCOTT,TX,House,3134,"FIELD, Scott"
08121,FRENCH,BURTON,ID,House,3367,"FRENCH, Burton Lee"
06561,HOGG,HERSCHEL,CO,House,4506,"HOGG, Herschel Millard"
07081,LEGARE,GEORGE,SC,NA,NA,NA
08215,STAFFORD,WILLIAM,WI,House,8823,"STAFFORD, William Henry"
06581,MCNARY,WILLIAM,MA,House,6368,"McNARY, William Sarsfield"
06955,MCMORRAN,HENRY,MI,House,6360,"McMORRAN, Henry Gordon"
07199,HUMPHREY,WILLIAM,WA,House,4732,"HUMPHREY, William Ewart"
06970,PUJO,ARSENE,LA,House,7650,"PUJO, Arsène Paulin"
06665,DUNWELL,CHARLES,NY,House,2780,"DUNWELL, Charles Tappan"
07100,MURDOCK,VICTOR,KS,House,6801,"MURDOCK, Victor"
06996,WOOD,IRA,NJ,House,10325,"WOOD, Ira Wells"
06405,BADGER,DE,OH,House,329,"BADGER, De Witt Clinton"
06541,DRESSER,SOLOMON,PA,House,2723,"DRESSER, Solomon Robert"
06635,BONYNGE,ROBERT,CO,House,847,"BONYNGE, Robert William"
06746,BYRD,ADAM,MS,House,1364,"BYRD, Adam Monroe"
06608,SOUTHALL,ROBERT,VA,House,8747,"SOUTHALL, Robert Goode"
08897,GLASS,CARTER,VA,House,3625,"GLASS, Carter"
07595,KINKAID,MOSES,NE,House,5278,"KINKAID, Moses Pierce"
